#
# clustering_coeff_amazon.elist. G(57168, 57378). Average clustering: 0.1906  OpenTriads: 120274 (0.9212)  ClosedTriads: 10294 (0.0788) (Thu Oct 22 16:09:24 2020)
#
# Node degree	Average clustering coefficient
1	0
2	0.433331
3	0.387625
4	0.310329
5	0.234968
6	0.2001
7	0.169019
8	0.139857
9	0.129685
10	0.0988304
11	0.0754891
12	0.0846268
13	0.0718545
14	0.0668896
15	0.0582418
16	0.050463
17	0.0487132
18	0.0764203
19	0.0555556
20	0.0342105
21	0.0261905
22	0.0678211
23	0.0250329
24	0.0380435
25	0.0216667
26	0.0230769
27	0.014245
28	0.0171958
29	0.0369458
30	0.101149
31	0.0301075
32	0.0302419
33	0.00568182
34	0.0172311
35	0.0212885
36	0.031746
43	0.0376523
44	0.0264271
47	0.0231267
50	0.0130612
51	0.0368627
58	0.0145191
69	0.0144928
