#
# clustering_coeff_facebook.elist. G(3213, 57832). Average clustering: 0.6000  OpenTriads: 2501793 (0.7434)  ClosedTriads: 863556 (0.2566) (Thu Oct 22 16:07:08 2020)
#
# Node degree	Average clustering coefficient
1	0
2	0.860465
3	0.840909
4	0.807692
5	0.728205
6	0.74359
7	0.697819
8	0.685034
9	0.679264
10	0.601355
11	0.637054
12	0.625914
13	0.616097
14	0.642726
15	0.643625
16	0.604475
17	0.557756
18	0.540921
19	0.579415
20	0.552
21	0.54246
22	0.535498
23	0.568281
24	0.549929
25	0.545463
26	0.531966
27	0.559308
28	0.559432
29	0.545156
30	0.538908
31	0.518449
32	0.615549
33	0.543864
34	0.579679
35	0.457882
36	0.543504
37	0.538517
38	0.539524
39	0.559861
40	0.526756
41	0.537356
42	0.534531
43	0.601504
44	0.493063
45	0.605997
46	0.510927
47	0.498381
48	0.567561
49	0.52094
50	0.527528
51	0.545316
52	0.555254
53	0.487627
54	0.473375
55	0.561809
56	0.470366
57	0.520791
58	0.538294
59	0.517124
60	0.556427
61	0.568345
62	0.55088
63	0.536318
64	0.603299
65	0.528709
66	0.532556
67	0.522328
68	0.590524
69	0.620476
70	0.545342
71	0.579707
72	0.498484
73	0.493566
74	0.677434
75	0.557735
76	0.538667
77	0.581985
78	0.51332
79	0.503538
80	0.427532
81	0.568695
82	0.544762
83	0.623004
84	0.579289
85	0.55119
86	0.597994
87	0.534616
88	0.713993
89	0.633356
90	0.56981
91	0.60164
92	0.520863
93	0.709151
94	0.68577
95	0.700224
96	0.592588
97	0.637543
98	0.614033
99	0.627205
100	0.646667
101	0.534125
102	0.592086
103	0.661574
104	0.544489
105	0.610852
106	0.747709
107	0.617028
108	0.693752
109	0.752237
110	0.604837
111	0.540827
112	0.683559
113	0.548641
114	0.678777
115	0.509504
116	0.633633
117	0.640053
118	0.529335
119	0.774925
120	0.646118
121	0.613168
122	0.569525
123	0.701764
124	0.818647
125	0.624215
126	0.681651
127	0.76178
128	0.639056
129	0.685956
130	0.704353
131	0.663585
132	0.7095
133	0.611681
135	0.504533
136	0.531209
137	0.734256
138	0.624167
139	0.643812
140	0.682708
141	0.706991
142	0.699288
143	0.574239
144	0.757641
146	0.633916
147	0.760445
148	0.498345
149	0.615137
150	0.62396
151	0.641488
152	0.63354
153	0.678305
154	0.717681
155	0.608651
156	0.659608
157	0.48179
158	0.720847
159	0.707826
160	0.603027
161	0.729658
162	0.702247
163	0.591002
164	0.518461
165	0.355137
166	0.638189
167	0.504184
168	0.70288
169	0.47929
171	0.428277
173	0.462159
178	0.379483
179	0.602661
180	0.521881
183	0.277578
185	0.171739
191	0.563681
193	0.418016
209	0.398739
239	0.388664
241	0.358057
438	0.0315037
604	0.109848
632	0.0446849
838	0.0500167
