#
# shortest_path_amazon.elist. G(57168, 57378). Diam: avg:36.05  eff:54.20  max:116 (Thu Oct 22 16:09:24 2020)
#
# Number of hops	Number of shortest paths
0	57168
1	114756
2	222360
3	235466
4	309258
5	401442
6	502248
7	646622
8	786636
9	931158
10	1.09902e+06
11	1.25262e+06
12	1.43668e+06
13	1.61701e+06
14	1.82445e+06
15	2.0295e+06
16	2.2305e+06
17	2.47317e+06
18	2.70634e+06
19	2.98978e+06
20	3.26223e+06
21	3.57335e+06
22	3.88118e+06
23	4.14409e+06
24	4.43734e+06
25	4.67395e+06
26	4.90873e+06
27	5.10943e+06
28	5.28036e+06
29	5.40183e+06
30	5.50636e+06
31	5.59221e+06
32	5.61149e+06
33	5.62069e+06
34	5.58781e+06
35	5.55727e+06
36	5.4938e+06
37	5.41018e+06
38	5.27611e+06
39	5.16861e+06
40	4.99061e+06
41	4.8191e+06
42	4.65366e+06
43	4.42666e+06
44	4.20424e+06
45	3.98086e+06
46	3.76605e+06
47	3.53528e+06
48	3.30846e+06
49	3.06538e+06
50	2.82773e+06
51	2.58244e+06
52	2.34586e+06
53	2.11216e+06
54	1.88581e+06
55	1.68643e+06
56	1.48546e+06
57	1.3235e+06
58	1.17259e+06
59	1.05286e+06
60	950328
61	860500
62	785258
63	719984
64	665998
65	619984
66	576070
67	537534
68	512704
69	484256
70	466280
71	445976
72	430864
73	411634
74	394742
75	379390
76	371372
77	358610
78	340306
79	318108
80	292212
81	269646
82	246522
83	224700
84	201686
85	181320
86	159976
87	140824
88	122992
89	107708
90	91178
91	78140
92	66324
93	56790
94	49848
95	43432
96	38160
97	33050
98	28960
99	24972
100	21592
101	17432
102	15336
103	11584
104	9286
105	7238
106	5428
107	3920
108	3050
109	1814
110	1346
111	772
112	498
113	256
114	148
115	40
116	16
