#
# deg_dist_facebook.elist. G(3213, 57832). 1056 (0.3287) nodes with out-deg > avg deg (36.0), 489 (0.1522) with >2*avg.deg (Thu Oct 22 16:06:55 2020)
#
# Out-degree	Count
1	95
2	86
3	88
4	65
5	117
6	91
7	107
8	105
9	86
10	82
11	79
12	87
13	90
14	84
15	93
16	54
17	62
18	46
19	50
20	50
21	36
22	50
23	40
24	41
25	36
26	36
27	41
28	43
29	42
30	40
31	38
32	32
33	25
34	15
35	25
36	27
37	23
38	21
39	21
40	23
41	19
42	26
43	19
44	16
45	16
46	21
47	24
48	24
49	16
50	18
51	18
52	15
53	20
54	10
55	14
56	11
57	11
58	15
59	15
60	8
61	14
62	7
63	14
64	16
65	7
66	6
67	15
68	14
69	11
70	5
71	7
72	8
73	11
74	8
75	7
76	5
77	9
78	10
79	5
80	5
81	7
82	13
83	12
84	10
85	4
86	6
87	4
88	6
89	9
90	11
91	7
92	3
93	4
94	10
95	6
96	10
97	5
98	2
99	7
100	1
101	9
102	6
103	4
104	7
105	8
106	2
107	6
108	8
109	3
110	5
111	4
112	7
113	5
114	5
115	5
116	6
117	5
118	3
119	4
120	7
121	5
122	3
123	3
124	1
125	6
126	3
127	4
128	4
129	4
130	5
131	7
132	3
133	3
135	2
136	4
137	3
138	4
139	5
140	4
141	3
142	7
143	4
144	3
146	2
147	3
148	1
149	4
150	4
151	7
152	4
153	6
154	4
155	4
156	3
157	1
158	3
159	2
160	2
161	1
162	4
163	2
164	4
165	1
166	1
167	2
168	1
169	1
171	1
173	1
178	1
179	1
180	2
183	2
185	1
191	1
193	1
209	1
239	1
241	1
438	1
604	1
632	1
838	1
