#
# connected_comp_amazon.elist. G(57168, 57378). Largest component has 0.244385 nodes (Thu Oct 22 16:09:24 2020)
#
# Size of strongly connected component	Number of components
2	4640
3	2129
4	1117
5	684
6	402
7	267
8	198
9	149
10	99
11	90
12	59
13	71
14	30
15	33
16	33
17	25
18	16
19	16
20	18
21	16
22	14
23	10
24	11
25	5
26	6
27	5
28	5
29	2
30	4
31	4
32	2
33	2
34	4
35	1
36	3
37	5
38	1
39	5
40	1
41	2
42	3
43	3
44	1
45	2
49	2
50	1
51	1
53	2
54	2
55	1
56	2
57	1
60	1
61	1
62	2
63	1
73	1
75	1
77	1
81	2
86	1
87	1
108	1
124	1
127	1
132	1
146	1
167	1
175	1
187	1
13971	1
